,Monthly Returns,,,,,,,,,,Average Annual Returns
Date,Cash,Real Estate,Equity,Gold,T-bill,,,,,Cash,-54.43%
,,,,,,,,,,Real Estate,9.49%
Jun-19,7.92%,0.53%,4.89%,8.76%,2.24%,,,,,Equity,16.93%
Jul-19,-9.89%,0.28%,3.52%,1.32%,2.24%,,,,,Gold,9.51%
Aug-19,3.41%,0.03%,-0.56%,7.06%,2.24%,,,,,T-bill,2.24%
Sep-19,2.20%,0.16%,3.25%,-2.82%,2.24%,,,,,,
Oct-19,-3.08%,0.05%,-0.26%,1.73%,2.24%,,,,,,
Nov-19,-16.28%,0.18%,5.25%,-3.36%,2.24%,,,,,,
Dec-19,-11.40%,0.19%,0.71%,3.74%,2.24%,,,,,,
Jan-20,-8.82%,0.41%,1.61%,4.58%,2.24%,,,,,,
Feb-20,6.10%,1.18%,-7.60%,1.62%,2.24%,,,,,,
Mar-20,34.07%,1.00%,-12.18%,-0.06%,2.24%,,,,,,
Apr-20,78.62%,0.79%,13.65%,5.83%,2.24%,,,,,,
May-20,64.17%,0.27%,2.32%,1.52%,2.24%,,,,,,
Jun-20,-447.57%,1.24%,1.42%,2.28%,2.24%,,,,,,
Jul-20,-52.71%,1.23%,-0.16%,11.13%,2.24%,,,,,,
Aug-20,-32.81%,1.33%,6.36%,-0.38%,2.24%,,,,,,
Sep-20,-4.71%,1.22%,-1.89%,-3.60%,2.24%,,,,,,
Oct-20,13.80%,1.08%,-2.58%,-0.27%,2.24%,,,,,,
Nov-20,0.64%,0.70%,8.33%,-6.34%,2.24%,,,,,,
Dec-20,-15.96%,0.69%,1.38%,7.09%,2.24%,,,,,,
Jan-21,-2.77%,0.96%,0.09%,-1.26%,2.24%,,,,,,
Feb-21,-19.75%,1.49%,2.88%,-6.49%,2.24%,,,,,,
Mar-21,-56.29%,2.26%,7.90%,-2.97%,2.24%,,,,,,
Apr-21,-58.78%,2.32%,2.22%,4.53%,2.24%,,,,,,
May-21,-20.03%,2.23%,-0.28%,7.48%,2.24%,,,,,,
Jun-21,-7.99%,1.92%,5.06%,-7.20%,2.24%,,,,,,
Jul-21,0.48%,1.37%,2.32%,3.55%,2.24%,,,,,,
Aug-21,2.13%,0.68%,3.54%,-0.60%,2.24%,,,,,,
Sep-21,-2.65%,0.71%,-2.55%,-3.97%,2.24%,,,,,,
Oct-21,-15.43%,0.86%,6.40%,1.51%,2.24%,,,,,,
Nov-21,-9.44%,0.84%,1.77%,1.99%,2.24%,,,,,,
Dec-21,-3.34%,0.82%,4.82%,0.08%,2.24%,,,,,,
Jan-22,-6.30%,1.26%,-3.73%,-0.59%,2.24%,,,,,,
Feb-22,-5.23%,2.16%,-3.37%,6.38%,2.24%,,,,,,
Mar-22,-8.53%,2.14%,4.63%,1.69%,2.24%,,,,,,
Apr-22,3.32%,2.14%,-3.86%,-1.59%,2.24%,,,,,,
May-22,-3.91%,1.59%,-1.43%,-3.80%,2.24%,,,,,,
Jun-22,-5.57%,0.29%,-5.37%,-1.18%,2.24%,,,,,,
Jul-22,5.90%,-0.73%,11.24%,-3.50%,2.24%,,,,,,
Aug-22,3.07%,-0.92%,-2.18%,-2.14%,2.24%,,,,,,
Sep-22,0.74%,-0.04%,-6.86%,-2.57%,2.24%,,,,,,
Oct-22,5.56%,-0.29%,6.29%,-1.96%,2.24%,,,,,,
Nov-22,8.20%,-0.52%,0.89%,6.99%,2.24%,,,,,,
Dec-22,9.22%,-0.51%,-8.32%,3.44%,2.24%,,,,,,
Jan-23,0.69%,-0.03%,4.64%,6.07%,2.24%,,,,,,
Feb-23,5.84%,1.44%,-0.47%,-5.16%,2.24%,,,,,,
Mar-23,17.41%,1.41%,1.23%,8.50%,2.24%,,,,,,
Apr-23,1.10%,1.59%,0.58%,0.14%,2.24%,,,,,,
May-23,17.90%,1.34%,3.24%,-0.92%,2.24%,,,,,,
Jun-23,26.64%,0.71%,4.81%,-2.65%,2.24%,,,,,,
Jul-23,-7.03%,0.55%,1.74%,3.05%,2.24%,,,,,,
Aug-23,-15.34%,0.12%,-0.19%,-1.44%,2.24%,,,,,,
Sep-23,-0.94%,0.34%,-2.30%,-3.70%,2.24%,,,,,,
Oct-23,12.39%,-0.17%,-2.33%,6.76%,2.24%,,,,,,
Nov-23,3.20%,-0.22%,6.02%,1.93%,2.24%,,,,,,
Dec-23,-6.85%,-0.53%,3.42%,2.11%,2.24%,,,,,,
Jan-24,7.79%,-0.27%,3.68%,-1.21%,2.24%,,,,,,
Feb-24,-2.02%,2.01%,5.45%,-0.25%,2.24%,,,,,,
